data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds	feasibility error	approx condition num	num pivots	num iterations	num susspace minimizations
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	3.41874e-07	0.4375416	5.8845823e-07	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	3.41874e-07	0.6553999	1.4622675e-05	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.386528e-07	1.3996334	4.1146869e-08	0	10	28	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.386528e-07	0.1980293	1.6513423e-10	0	10	28	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0943777e-08	0.0182792	5.9434178e-11	8.9524491e-08	10	0	9	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0962728e-08	0.0168501	6.5220321e-10	8.9524491e-08	10	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8489982e-07	0.1924708	9.3583507e-10	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	2.964566e-07	0.2641417	1.6486902e-09	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.5261573e-07	0.2283291	8.2032143e-10	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	2.964566e-07	0.9345792	1.9198541e-05	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	2.964566e-07	1.0275958	7.8668455e-07	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	2.964566e-07	1.425846	1.2823649e-06	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	2.5261573e-07	0.7282209	2.7413942e-06	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	2.5261573e-07	0.9574791	1.5646613e-07	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	2.5261573e-07	1.3201416	6.2647426e-07	0	10	61	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3603734e-07	7.9584751	4.1844756e-08	0	10	59	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3603734e-07	1.5406832	1.7918106e-09	0	10	59	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8881165e-08	0.0379294	1.1887404e-10	3.1316128e-07	10	0	8	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6211458e-08	0.037621	2.2097833e-09	2.8332155e-07	10	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.2060348e-07	1.9213834	1.009021e-06	0	10	125	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	3.672235e-07	2.4398169	1.0931198e-07	0	10	125	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2516304e-07	2.2259	5.0773874e-08	0	10	125	0	0
